price,make,model,year,mileage,engine_size,horsepower,fuel,transmission,drive_type,color,city,seller_type,doors,owners,accident,condition,service_history,trim,tuv_months,consumption_l_per_100km
3640.88,Audi,A4,2015,131676,3.0,180,diesel,automatic,rear,grey,Frankfurt,dealer,5,1,yes,fair,full,base,4.3,5.8
19065.24,BMW,3er,2024,19707,3.0,220,petrol,manual,all,black,Essen,private,4,6,no,excellent,full,base,4.7,9.6
11532.83,Volkswagen,T-Roc,2018,118829,3.0,180,diesel,automatic,all,black,Stuttgart,private,4,1,yes,good,full,sport,9.6,6.5
27647.57,Volkswagen,ID.3,2024,30917,3.0,210,diesel,automatic,all,blue,Nuernberg,dealer,4,2,no,excellent,full,s_line,17.7,6.5
20019.02,Volkswagen,Arteon,2020,83646,1.6,90,diesel,automatic,front,red,Nuernberg,dealer,5,3,no,excellent,full,sport,5.9,4.8
17840.55,Skoda,Octavia,2024,31591,4.0,300,petrol,automatic,front,white,Stuttgart,dealer,4,4,no,excellent,full,sport,22.3,11.8
19087.2,BMW,1er,2022,27512,3.0,180,diesel,automatic,all,white,Stuttgart,private,5,2,no,excellent,full,s_line,14.6,7.1
9217.29,BMW,6er,2015,114150,1.4,90,petrol,manual,all,blue,Nuernberg,dealer,4,3,no,good,full,base,2.7,6.5
5802.51,Seat,Arona,2020,105389,1.2,70,petrol,manual,front,red,Bielefeld,private,4,1,no,good,full,base,15.7,4.8
10304.17,Skoda,Enyaq,2015,114376,2.0,140,hybrid,manual,all,silver,Muenster,dealer,4,2,no,good,full,base,4.3,4.9
7203.94,Seat,Ibiza,2023,34255,4.0,300,petrol,automatic,rear,black,Leipzig,dealer,5,3,no,excellent,full,sport,6.0,11.7
17926.06,Ford,Focus ST,2022,52046,1.0,60,petrol,automatic,all,white,Nuernberg,private,4,1,no,excellent,full,base,17.0,4.4
13174.54,Mercedes-Benz,GLA,2019,86626,3.0,210,diesel,automatic,all,grey,Munich,dealer,5,1,no,excellent,full,base,14.3,7.7
125467.85,Porsche,Panamera,2024,36123,0.0,250,electric,automatic,rear,blue,Dresden,dealer,4,1,no,excellent,none,sport,0.0,20.3
23021.69,Skoda,Superb L&K,2024,51416,2.0,180,petrol,manual,all,white,Frankfurt,dealer,4,1,no,excellent,full,sport,17.8,8.3
31869.69,Volkswagen,Passat,2024,34374,0.0,150,electric,automatic,front,black,Muenster,dealer,4,3,no,excellent,full,base,4.6,15.6
8276.4,Seat,Ateca,2016,173472,0.0,250,electric,automatic,all,white,Leipzig,dealer,5,1,no,good,none,sport,10.0,19.6
6800.38,Ford,Puma,2021,70419,3.0,210,diesel,manual,rear,white,Berlin,dealer,5,1,yes,good,full,sport,2.4,5.8
4393.33,Ford,Focus ST,2013,274123,4.0,300,petrol,automatic,front,silver,Cologne,private,5,5,no,fair,none,base,5.2,11.5
6849.55,Opel,Corsa,2023,31277,3.0,210,diesel,automatic,rear,green,Nuernberg,private,4,3,no,excellent,none,sport,4.7,6.8
16791.47,BMW,X5,2016,102228,0.0,250,electric,automatic,all,white,Hamburg,dealer,4,4,no,excellent,full,m_sport,2.2,20.1
26304.54,Seat,Leon Cupra,2023,33842,0.0,100,electric,automatic,all,black,Leipzig,dealer,5,1,no,excellent,full,sport,19.9,14.6
8371.05,Porsche,Macan,2013,186088,2.0,140,diesel,automatic,front,blue,Stuttgart,dealer,5,5,yes,good,full,s_line,0.0,5.2
17457.44,Ford,Focus,2023,47041,1.6,110,petrol,automatic,all,white,Muenster,private,4,2,no,excellent,full,sport,17.6,6.6
2003.62,Mercedes-Benz,B-Klasse,1997,205270,3.0,220,petrol,manual,all,black,Bielefeld,private,5,1,no,fair,partial,base,17.1,10.3
67731.62,Porsche,Macan,2023,51121,3.0,220,petrol,automatic,all,grey,Leipzig,private,5,1,no,excellent,full,sport,19.2,9.5
23404.46,Audi,e-tron,2024,45148,1.4,90,petrol,automatic,rear,silver,Hannover,dealer,5,3,yes,good,full,sport,11.4,5.7
118498.29,Porsche,911,2025,13281,3.0,210,diesel,automatic,all,silver,Nuernberg,private,5,1,yes,good,full,sport,0.2,6.6
62380.99,Audi,Q7,2025,29173,0.0,250,electric,manual,all,grey,Berlin,dealer,4,4,no,excellent,full,sport,17.6,19.6
4027.34,Seat,Ateca,2016,248066,3.0,220,petrol,manual,all,green,Frankfurt,dealer,4,1,no,fair,full,base,6.4,9.4
8494.2,Opel,Astra,2021,94755,4.0,300,petrol,manual,rear,blue,Bielefeld,private,4,1,no,excellent,partial,base,2.6,12.0
6627.73,Ford,Fiesta,2018,97883,2.0,140,diesel,automatic,front,silver,Frankfurt,dealer,4,2,no,good,full,sport,4.8,4.3
42088.15,Porsche,Panamera,2022,49177,4.0,300,petrol,automatic,all,silver,Duesseldorf,private,3,6,yes,good,full,base,16.0,11.6
16709.67,Volkswagen,Passat CC,2021,46799,2.0,140,petrol,automatic,front,white,Berlin,dealer,5,6,no,excellent,full,base,11.8,7.1
11837.93,Mercedes-Benz,B-Klasse,2019,114687,3.0,210,diesel,automatic,all,white,Dortmund,dealer,4,2,no,excellent,full,sport,19.0,7.6
8726.53,Mercedes-Benz,EQA,2016,159855,3.0,210,hybrid,manual,all,black,Munich,dealer,4,3,no,good,partial,sport,9.6,4.2
62184.93,Mercedes-Benz,EQS,2021,67493,3.0,210,hybrid,automatic,front,white,Bonn,dealer,4,1,no,excellent,full,sport,13.5,5.6
6755.09,Skoda,Superb,2009,168937,2.0,110,diesel,manual,all,silver,Duesseldorf,private,4,3,no,good,full,base,3.1,4.4
8273.1,Seat,Arona,2022,83281,1.6,90,diesel,automatic,front,silver,Cologne,private,4,3,no,good,full,sport,7.7,3.5
5833.4,Skoda,Octavia,2016,95392,2.0,110,diesel,automatic,front,silver,Duesseldorf,private,5,1,yes,good,full,sport,1.5,5.1
5367.25,Ford,Fiesta,2018,63695,1.6,110,petrol,manual,front,grey,Dresden,dealer,4,1,no,excellent,full,base,5.8,6.6
13697.78,Audi,A7,2018,215147,1.6,90,diesel,automatic,all,white,Hannover,dealer,4,1,no,fair,full,sport,15.2,3.8
6159.95,BMW,X3,2018,133790,4.0,300,petrol,automatic,rear,white,Stuttgart,dealer,4,1,yes,fair,full,sport,3.9,12.0
5436.54,Ford,Mustang,2010,247950,2.0,140,hybrid,manual,all,black,Essen,dealer,5,5,no,fair,none,base,0.0,4.3
78767.26,Porsche,Cayman,2024,21943,2.0,140,diesel,automatic,front,silver,Frankfurt,dealer,5,2,no,excellent,full,sport,2.5,4.8
7183.5,Skoda,Octavia,2021,124966,2.0,140,diesel,manual,front,red,Stuttgart,private,4,1,no,good,full,sport,1.9,5.1
12509.8,Ford,Focus ST,2022,63692,1.0,60,petrol,automatic,front,white,Cologne,dealer,5,4,no,excellent,full,base,2.5,4.4
4692.22,Mercedes-Benz,GLC,2015,239330,3.0,210,diesel,manual,front,blue,Leipzig,dealer,4,4,no,fair,full,amg,4.8,7.3
4140.66,Audi,A6,2017,296684,1.6,90,diesel,automatic,front,white,Hamburg,private,4,6,yes,fair,full,base,5.0,4.9
147861.43,Porsche,Cayenne,2025,19392,2.0,140,petrol,automatic,all,blue,Hamburg,dealer,4,1,no,excellent,full,sport,26.6,8.6
8295.87,Ford,Fiesta,2022,32698,4.0,300,petrol,manual,front,grey,Leipzig,dealer,4,1,no,excellent,full,sport,12.0,12.5
21658.49,Ford,Kuga,2025,23531,2.0,180,petrol,manual,all,white,Duesseldorf,private,4,2,no,excellent,full,sport,19.0,8.9
9315.8,Seat,Leon,2020,138489,2.0,140,hybrid,manual,all,blue,Dresden,dealer,5,4,no,good,full,sport,8.7,5.5
4477.83,Skoda,Octavia,2016,242723,2.5,180,hybrid,automatic,front,black,Duesseldorf,dealer,4,4,no,fair,full,sport,0.0,4.8
9631.69,Ford,Kuga,2020,135179,2.0,140,hybrid,automatic,front,white,Muenster,private,4,1,yes,good,partial,sport,11.6,3.8
8032.92,Skoda,Kodiaq,2019,148437,1.4,90,petrol,automatic,all,black,Essen,private,5,3,no,good,full,base,0.8,4.9
5436.12,Opel,Mokka,2015,72132,1.6,90,diesel,automatic,front,black,Duesseldorf,private,4,4,no,excellent,full,base,0.4,4.7
12762.93,Seat,Leon,2023,55758,1.5,100,hybrid,manual,front,grey,Essen,dealer,5,2,no,excellent,full,sport,1.2,4.1
2235.16,Opel,Astra,2002,350000,2.0,140,diesel,automatic,all,white,Hamburg,dealer,4,3,yes,fair,partial,sport,4.4,6.1
37098.83,Porsche,Cayenne,2021,103364,2.0,140,petrol,automatic,rear,white,Bielefeld,private,4,4,no,good,full,s_line,1.5,7.2
2487.59,Skoda,Karoq,2000,350000,2.5,180,hybrid,manual,all,red,Bielefeld,dealer,4,4,yes,fair,partial,base,1.2,5.2
16386.75,Seat,Leon,2024,48597,4.0,300,petrol,automatic,all,white,Nuernberg,dealer,4,1,no,excellent,full,base,7.3,12.1
6238.69,Opel,Crossland,2017,151737,1.6,90,diesel,automatic,front,black,Dresden,private,4,1,no,good,none,base,7.9,3.7
5718.09,Opel,Mokka,2015,136351,2.0,140,diesel,automatic,all,blue,Bielefeld,private,4,2,no,good,full,sport,8.7,5.0
13011.84,Seat,Leon Cupra,2018,84931,1.6,90,diesel,manual,all,grey,Stuttgart,private,4,4,no,excellent,full,base,13.3,4.9
12247.55,Opel,Grandland,2022,45059,3.0,210,hybrid,automatic,front,grey,Stuttgart,dealer,4,4,no,excellent,none,sport,4.3,6.0
5211.81,Skoda,Fabia,2021,77421,2.0,140,diesel,automatic,front,grey,Nuernberg,private,5,3,no,excellent,partial,base,0.0,5.9
7841.1,Opel,Crossland,2023,26457,2.5,180,hybrid,automatic,front,grey,Stuttgart,private,4,3,yes,good,partial,sport,0.0,4.7
12544.54,Ford,Kuga,2024,29703,3.0,210,hybrid,automatic,front,blue,Hannover,private,4,1,yes,good,full,base,0.0,5.4
14332.94,BMW,i4,2020,95243,2.0,140,diesel,automatic,rear,black,Nuernberg,private,5,1,yes,good,full,m_sport,9.8,6.1
15482.21,BMW,X1,2022,60213,3.0,220,petrol,manual,all,grey,Cologne,private,4,1,no,excellent,full,base,0.6,10.5
21818.13,Audi,Q8,2020,94953,3.0,210,diesel,automatic,all,blue,Munich,dealer,4,3,no,excellent,full,base,4.0,6.4
40315.88,BMW,7er,2020,42937,3.0,220,petrol,automatic,all,black,Leipzig,dealer,5,1,no,excellent,full,sport,15.5,9.7
8973.51,Skoda,Kodiaq,2018,121513,2.0,140,diesel,manual,all,black,Hamburg,dealer,5,1,yes,good,full,base,0.0,5.0
13352.72,Volkswagen,Polo,2024,49446,4.0,300,petrol,manual,front,black,Muenster,dealer,4,1,no,excellent,full,sport,19.5,12.4
12110.24,Volkswagen,Polo,2022,40413,3.0,180,diesel,automatic,all,black,Munich,private,4,1,no,excellent,full,sport,5.4,6.8
1890.65,BMW,3er,2012,310919,1.5,100,petrol,manual,rear,silver,Dortmund,private,5,6,yes,fair,partial,sport,16.3,6.4
19023.07,Porsche,911,2007,195170,2.0,180,petrol,manual,rear,silver,Duesseldorf,dealer,5,3,no,good,full,sport,4.1,7.0
19410.61,Volkswagen,Arteon,2022,70224,4.0,300,petrol,manual,front,blue,Leipzig,dealer,5,3,no,excellent,full,sport,6.2,11.5
20412.04,Seat,Tarraco,2025,23515,1.5,100,hybrid,automatic,all,red,Hannover,private,5,3,no,excellent,full,base,7.2,3.9
6061.67,Seat,Ibiza,2021,93372,1.6,90,diesel,automatic,front,white,Muenster,dealer,5,4,no,excellent,full,sport,8.5,3.6
7929.62,Volkswagen,Touran,2020,167880,2.0,110,diesel,manual,front,silver,Muenster,private,4,6,yes,good,full,base,16.6,5.5
47155.25,Mercedes-Benz,GLC,2025,19873,1.2,70,petrol,automatic,all,red,Essen,dealer,4,2,no,excellent,full,s_line,0.0,5.5
6194.96,Opel,Crossland,2012,126586,3.0,180,diesel,manual,front,blue,Duesseldorf,dealer,5,1,no,good,full,sport,6.6,6.0
17421.49,Mercedes-Benz,GLE,2019,122204,3.0,180,diesel,automatic,rear,white,Muenster,private,4,4,no,good,full,sport,10.5,6.6
14144.18,Opel,Mokka,2024,20322,0.0,250,electric,automatic,front,blue,Muenster,dealer,4,6,no,excellent,full,sport,5.2,19.7
97524.12,Porsche,Boxster,2025,22514,2.0,140,petrol,automatic,rear,green,Stuttgart,private,4,1,no,excellent,full,s_line,8.2,6.5
21356.16,Ford,Kuga,2025,24321,2.0,140,diesel,manual,front,silver,Bielefeld,private,4,3,no,excellent,full,sport,5.2,6.0
41993.4,Mercedes-Benz,S-Klasse,2021,70364,2.0,140,petrol,automatic,all,silver,Muenster,dealer,5,4,no,excellent,full,sport,7.9,7.5
34655.33,Mercedes-Benz,CLS,2022,47394,2.0,180,petrol,automatic,rear,silver,Bonn,dealer,5,1,no,excellent,full,base,13.5,8.8
4966.54,Seat,Tarraco,2017,172760,1.4,90,petrol,automatic,all,silver,Frankfurt,dealer,4,1,yes,fair,none,base,4.8,5.6
22228.98,Audi,Q8,2018,80050,4.0,300,petrol,automatic,front,red,Cologne,private,5,2,no,excellent,partial,s_line,12.2,11.6
2580.59,Opel,Astra,2006,350000,2.0,140,diesel,manual,front,black,Hannover,dealer,4,1,no,fair,none,sport,2.2,5.9
15229.41,Skoda,Octavia RS,2020,86767,1.6,110,petrol,automatic,front,white,Hannover,private,3,1,no,excellent,full,base,4.7,7.2
21055.7,Skoda,Kamiq,2025,24404,2.0,110,diesel,automatic,all,white,Nuernberg,dealer,4,1,no,excellent,full,sport,14.4,5.5
6471.08,Porsche,Panamera,2000,350000,3.0,220,petrol,manual,all,white,Munich,dealer,5,3,no,fair,partial,base,10.4,8.9
6574.42,Ford,Focus ST,2015,128714,1.6,90,diesel,manual,front,blue,Cologne,dealer,4,1,yes,good,partial,base,9.4,4.4
4572.57,Audi,Q7,2014,185361,3.0,180,diesel,automatic,rear,grey,Cologne,private,4,2,yes,fair,none,base,3.1,7.2
28405.65,Skoda,Superb L&K,2025,19615,0.0,250,electric,manual,front,white,Bonn,private,4,2,yes,good,full,sport,9.0,20.2
182162.46,Porsche,Taycan,2025,13217,0.0,250,electric,automatic,all,silver,Frankfurt,dealer,4,1,no,excellent,full,base,11.2,20.0
20885.01,Audi,Q5,2021,51917,3.0,220,petrol,manual,all,white,Essen,dealer,4,1,no,excellent,full,sport,5.7,10.7
69738.52,Porsche,911,2021,128860,3.0,210,diesel,manual,all,silver,Berlin,dealer,4,1,no,good,full,s_line,11.7,7.9
8585.5,Audi,A5,2017,119611,2.0,140,diesel,automatic,front,silver,Munich,private,3,3,no,good,partial,base,5.0,5.7
24920.95,Mercedes-Benz,GLC,2022,29299,3.0,220,petrol,automatic,all,silver,Duesseldorf,dealer,4,4,no,excellent,full,sport,22.3,9.0
39294.67,Porsche,Taycan,2018,62981,1.5,100,petrol,automatic,rear,black,Bielefeld,dealer,4,6,no,excellent,partial,base,11.0,5.8
16336.94,Audi,A7,2019,72715,1.6,90,diesel,manual,all,grey,Hannover,dealer,4,3,no,good,full,base,12.6,5.2
5715.47,Ford,S-Max,2012,112362,2.0,180,petrol,automatic,all,red,Muenster,private,5,4,no,good,partial,base,5.5,8.3
8244.01,Opel,Astra,2020,79602,2.0,140,petrol,automatic,all,grey,Leipzig,private,5,3,yes,good,full,base,3.9,7.1
9278.14,BMW,3er,2018,135063,2.0,140,diesel,automatic,all,white,Muenster,dealer,5,3,no,good,none,sport,12.8,4.9
6394.49,BMW,1er,2019,135864,4.0,300,petrol,manual,all,grey,Hamburg,dealer,4,3,no,good,full,m_sport,2.1,11.6
19355.06,Skoda,Karoq,2025,13030,3.0,180,diesel,automatic,all,silver,Leipzig,private,4,2,no,excellent,none,base,19.4,6.5
21805.57,Volkswagen,ID.3,2022,46698,0.0,200,electric,automatic,front,blue,Munich,dealer,5,1,yes,good,full,sport,4.2,18.2
23382.67,Ford,Kuga,2024,45516,0.0,250,electric,automatic,all,silver,Dresden,private,5,1,no,excellent,full,base,5.7,19.3
13275.59,BMW,X5,2018,155258,4.0,300,petrol,manual,all,black,Bielefeld,private,5,3,no,good,full,base,11.3,11.2
5261.02,Seat,Arona,2016,118314,2.0,140,diesel,manual,front,grey,Hamburg,dealer,5,3,no,excellent,partial,base,3.8,6.5
7670.23,BMW,6er,2018,189457,3.0,180,diesel,automatic,rear,black,Munich,private,5,6,no,good,full,base,0.0,7.2
37173.24,Audi,Q3,2025,17887,1.5,100,hybrid,automatic,all,black,Bremen,dealer,4,3,no,excellent,full,sport,21.6,4.4
3426.23,Opel,Zafira,2018,226507,2.0,110,diesel,automatic,rear,white,Stuttgart,dealer,4,2,no,fair,none,base,1.8,5.8
13497.82,Mercedes-Benz,S-Klasse,2014,127562,1.2,70,petrol,automatic,all,white,Dortmund,dealer,5,6,no,good,full,sport,7.8,5.8
6671.09,Volkswagen,Passat CC,2011,233093,3.0,210,diesel,manual,front,green,Essen,dealer,4,5,no,good,full,base,0.0,6.6
14453.34,Opel,Grandland,2024,11795,1.5,100,petrol,automatic,front,black,Essen,private,4,6,no,excellent,full,sport,0.2,6.7
20022.13,Seat,Leon Cupra,2025,15508,4.0,300,petrol,automatic,front,black,Hannover,dealer,5,1,no,excellent,none,sport,9.1,12.2
33739.44,Audi,Q8,2022,29888,2.0,180,petrol,automatic,front,white,Munich,private,4,3,no,excellent,full,sport,14.0,8.9
7536.43,Porsche,Cayenne,2011,350000,2.0,140,petrol,manual,all,grey,Cologne,dealer,3,4,no,fair,partial,s_line,0.7,6.5
8987.0,Volkswagen,Passat,2017,145097,1.2,70,petrol,automatic,all,white,Muenster,dealer,5,1,no,good,none,sport,2.4,5.1
5059.46,Mercedes-Benz,EQA,2018,223859,1.0,60,petrol,automatic,rear,blue,Dresden,private,5,4,no,fair,partial,base,13.8,5.5
16613.64,Seat,Leon Cupra,2024,31237,3.0,220,petrol,automatic,front,blue,Muenster,private,4,6,no,excellent,full,base,16.3,10.4
4853.3,Mercedes-Benz,GLC,2009,214911,1.6,110,petrol,automatic,all,blue,Berlin,private,4,1,yes,good,full,sport,5.2,5.7
3498.53,Seat,Leon,2009,279015,3.0,210,diesel,manual,front,silver,Dresden,dealer,5,4,no,fair,partial,sport,6.4,6.4
11467.38,Ford,S-Max,2018,73599,2.0,140,diesel,automatic,all,white,Muenster,private,3,2,no,excellent,full,base,4.9,5.4
17574.13,Audi,A7,2021,68676,4.0,300,petrol,manual,rear,red,Bremen,dealer,4,1,yes,good,full,sport,8.9,12.1
4227.38,Ford,Focus,2016,249682,2.0,140,diesel,automatic,front,red,Essen,private,5,1,no,fair,full,base,2.7,5.6
6389.96,Seat,Tarraco,2015,185537,3.0,180,diesel,automatic,all,white,Frankfurt,dealer,4,4,no,good,full,base,1.7,6.6
54013.8,Porsche,Cayman,2019,80747,0.0,250,electric,manual,rear,silver,Munich,dealer,4,1,no,excellent,full,base,8.4,18.9
16621.17,Opel,Zafira,2022,38957,1.5,100,hybrid,automatic,front,grey,Essen,dealer,4,1,no,excellent,full,sport,3.2,4.1
18214.66,Mercedes-Benz,S-Klasse,2016,56220,2.5,180,hybrid,manual,all,white,Munich,private,5,4,yes,good,full,base,8.1,4.8
3934.72,Volkswagen,Polo,2017,252502,4.0,300,petrol,automatic,all,black,Hamburg,private,4,1,no,fair,partial,sport,0.0,11.2
6378.75,Skoda,Enyaq,2011,160446,1.6,90,diesel,automatic,front,white,Muenster,private,3,5,yes,good,full,base,10.0,4.9
29844.68,Porsche,911,2016,179765,2.0,140,petrol,automatic,rear,black,Frankfurt,dealer,5,1,no,good,full,sport,0.5,8.2
21779.83,Opel,Astra,2024,10496,0.0,100,electric,automatic,front,silver,Stuttgart,private,4,1,no,excellent,full,base,14.5,14.4
24198.1,Mercedes-Benz,S-Klasse,2014,96094,2.0,140,hybrid,automatic,rear,black,Berlin,private,4,1,no,good,partial,amg,12.3,4.6
117221.21,Porsche,Cayenne,2025,9355,2.0,110,diesel,automatic,rear,green,Duesseldorf,dealer,4,2,no,excellent,full,s_line,10.9,5.0
8382.18,Ford,Focus,2019,61320,1.6,90,diesel,automatic,front,white,Essen,private,4,6,no,excellent,full,base,6.2,4.9
27596.82,Porsche,Taycan,2019,95392,4.0,300,petrol,manual,rear,white,Bielefeld,dealer,5,1,yes,fair,partial,sport,7.2,11.5
18233.79,Seat,Ateca,2025,42853,4.0,300,petrol,manual,all,black,Frankfurt,private,5,3,no,excellent,full,sport,12.8,11.9
10646.97,Seat,Leon Cupra,2020,99718,2.0,140,petrol,manual,front,red,Leipzig,private,5,3,no,good,full,sport,10.0,8.3
32228.63,Porsche,Cayenne,2019,71677,2.0,140,diesel,manual,front,green,Stuttgart,dealer,4,2,no,excellent,none,sport,11.3,4.8
5767.04,Audi,A1,2019,82893,3.0,220,petrol,automatic,all,silver,Stuttgart,private,4,3,no,good,full,base,10.0,9.7
15286.98,Skoda,Superb,2019,59755,2.0,140,diesel,automatic,front,black,Bonn,dealer,4,3,no,excellent,full,sport,8.1,5.1
18011.4,Skoda,Kodiaq,2023,51279,0.0,250,electric,automatic,rear,red,Hannover,private,4,3,no,excellent,full,sport,0.0,20.0
13815.16,Opel,Grandland,2019,150193,0.0,150,electric,automatic,rear,silver,Cologne,dealer,4,1,no,good,full,base,12.8,17.3
25365.42,Skoda,Octavia,2024,42129,0.0,200,electric,automatic,front,silver,Hannover,dealer,4,1,no,excellent,full,sport,4.8,17.6
19328.08,Audi,A6,2022,81312,3.0,210,diesel,manual,rear,silver,Bremen,dealer,5,3,no,good,full,base,7.4,8.0
34455.12,Mercedes-Benz,E-Klasse,2022,79783,2.5,180,hybrid,automatic,rear,silver,Stuttgart,dealer,4,1,no,excellent,full,sport,5.4,5.3
20620.91,Audi,Q5,2024,27747,2.0,180,petrol,manual,all,silver,Duesseldorf,dealer,4,1,yes,good,full,s_line,11.4,8.1
11650.58,Seat,Ibiza,2025,20735,3.0,180,diesel,automatic,all,blue,Leipzig,dealer,5,1,no,excellent,full,base,3.6,7.3
24878.25,Skoda,Octavia,2025,19225,0.0,100,electric,manual,front,silver,Nuernberg,dealer,5,3,no,excellent,full,sport,11.3,14.9
3420.08,Seat,Ibiza,2019,179622,2.0,110,diesel,automatic,front,blue,Bonn,dealer,4,2,no,fair,full,sport,12.3,6.2
5708.67,Opel,Corsa,2022,81069,3.0,220,petrol,automatic,all,black,Stuttgart,dealer,4,3,no,good,full,base,0.0,9.2
11409.34,Opel,Crossland,2022,42995,2.0,140,diesel,manual,all,white,Munich,private,4,1,no,excellent,full,sport,3.8,5.1
16349.21,Audi,A1,2024,37828,4.0,300,petrol,automatic,all,white,Stuttgart,private,5,1,no,excellent,full,sport,13.0,13.2
13337.57,Skoda,Superb,2020,73626,2.0,140,hybrid,manual,front,black,Dortmund,dealer,4,3,no,excellent,full,sport,12.3,4.3
3910.36,Seat,Ibiza,2016,76605,3.0,210,diesel,automatic,all,black,Stuttgart,dealer,4,4,no,excellent,none,base,0.0,7.7
16593.79,Audi,A3,2024,34487,1.0,60,petrol,automatic,all,red,Bonn,private,5,4,no,excellent,full,s_line,1.0,5.1
5951.98,Ford,Focus ST,2016,207001,3.0,210,diesel,manual,front,blue,Leipzig,dealer,5,1,no,fair,full,base,0.0,6.5
14668.0,Porsche,Macan,2015,160490,3.0,180,diesel,automatic,all,black,Muenster,dealer,4,6,no,good,full,base,13.1,7.4
7640.34,Volkswagen,Golf GTI,2014,261176,3.0,210,diesel,automatic,front,black,Muenster,dealer,4,1,no,fair,partial,sport,6.4,7.6
72871.77,Mercedes-Benz,EQS,2023,26516,2.0,140,diesel,manual,rear,black,Hamburg,private,5,2,no,excellent,full,sport,9.8,6.0
5486.33,BMW,7er,2014,300687,3.0,210,diesel,manual,rear,black,Duesseldorf,private,4,4,no,fair,none,sport,0.0,6.4
39284.67,Skoda,Kodiaq RS,2025,15599,2.0,140,hybrid,automatic,front,grey,Bremen,dealer,4,1,no,excellent,full,sport,11.6,3.5
2340.88,Audi,Q2,2015,212249,2.0,140,diesel,manual,rear,white,Berlin,private,4,2,yes,fair,partial,base,9.0,5.5
